country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,
Liberia,,,,,,,,,,,,,,,,,,,,,0.468,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,1.29,1.18,0.935,0.989,0.933,0.914,0.837,0.882,0.843,0.756,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,
Lithuania,,,,,,,,,6.42,4.68,6.67,7.31,5.23,4.43,3.9,2.86,1.83,1.05,1.07,4.2,7.45,6.71,5.41,4.3,4.1,3.34,2.82,2.51,2.1,1.87,2.57
Luxembourg,,,0.374,,0.952,0.531,0.644,0.634,,,0.379,0.434,0.4,0.766,0.855,0.964,0.953,0.988,0.989,1.04,0.866,1.16,1.25,1.38,1.47,1.61,1.8,1.51,1.12,1.31,1.7
Latvia,,,,,,,,,6.1,5.49,6,5.97,4.63,4.27,3.74,3.5,2.2,1.64,1.96,6.35,8.63,7.51,5.91,4.63,4.04,3.95,3.85,3.03,2.93,2.29,2.44
"Macao, China",,,,,,,,,,,,,,,,,,,,0.436,0.348,0.378,0.222,0.18,,0.242,0.306,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,3.03,3.1,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,1.14,1.09,0.964,0.693,0.572,0.347,0.492,0.463,0.507,0.305,0.365,0.251
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,0.771,,,0.604,
Mexico,,,,,,0.186,0.186,0.0945,0.0463,0.0477,0.0366,0.0361,0.0554,0.0555,0.0769,0.115,0.0894,0.0846,0.091,0.178,0.193,0.169,0.151,0.144,0.156,0.119,0.119,0.0936,0.0861,0.0782,0.17
North Macedonia,,,,,,,,,,,,,,,,,16.8,16.8,16.5,15.6,15.9,15.7,15.5,14.3,13.9,13.3,12,10.7,9.76,7.57,8.95
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.534,,
Malta,,,,,,,,,,,2.55,2.05,2.2,2.07,,2.39,2.13,2.02,1.98,2.32,2.72,2.6,2.4,2.48,2.44,2.13,1.69,1.5,1.6,1.14,1.54
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,0.0931,,0.231,0.16,0.0554,
Montenegro,,,,,,,,,,,,,,,,,,,,,,7.52,7.7,8.1,7.28,7.12,7.55,6.4,6.58,6.71,7.1
Mongolia,,,,,,,,,,,,,,,,,,,1.87,1.79,2.58,1.7,1.31,1.38,1.75,1.74,3.01,2.6,1.89,2.45,1.31
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,0.511,,,,,
Mauritius,,,,,,,,,,,,2.57,1.98,1.22,1.65,1.59,1.26,1.24,0.819,0.857,0.993,1.17,0.923,1.1,1.12,0.984,0.867,0.946,0.835,0.664,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,
