Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,,ChannelS,Watch time(Minutes)S,Stream time(minutes)S,Peak viewersS,Average viewersS,FollowersS,Followers gainedS,Views gainedS,PartneredS,MatureS,LanguageS
SmiteGame,586925850,344055,33245,1588,535211,73678,8305604,TRUE,FALSE,English,,,,,,,,,,,,
RatedEpicz,582401145,175920,11860,3336,134757,74221,7251200,TRUE,TRUE,English,,,,,,,,,,,,
Anton,581034300,142890,137531,3199,207484,128050,6176254,TRUE,TRUE,English,,,,,,,,,,,,
benjyfishy,580787955,34350,75491,14423,1739112,1455278,20411553,TRUE,FALSE,English,,,,,,,,,,,,
CasinoDaddy,577240710,267465,6524,2168,151098,42680,7493491,FALSE,TRUE,English,,,,,,,,,,,,
Jinnytty,569601090,151815,15190,3607,372334,213291,15165872,TRUE,FALSE,English,,,,,,,,,,,,
Mathil1,561997440,134715,25866,3953,293595,66982,13159849,TRUE,FALSE,English,,,,,,,,,,,,
Greekgodx,561616335,89745,45741,7083,1278824,403108,12441822,TRUE,TRUE,English,,,,,,,,,,,,
ClassyBeef,558883590,273660,33624,1941,108623,88671,6626543,FALSE,TRUE,English,,,,,,,,,,,,
Diegosaurs,558587535,128580,32463,4150,521201,270255,9851921,TRUE,TRUE,English,,,,,,,,,,,,
BobRoss,558170835,238035,11659,2175,1519266,216326,7491995,TRUE,FALSE,English,,,,,,,,,,,,
Nick28T,556741020,183660,15155,3024,977377,78054,6777975,TRUE,TRUE,English,,,,,,,,,,,,
GMHikaru,554249955,68355,46106,7155,505361,425023,20086431,TRUE,FALSE,English,,,,,,,,,,,,
Chap,550951215,157545,22571,3430,1272899,273926,13683195,TRUE,FALSE,English,,,,,,,,,,,,
Klean,545108145,169605,101124,2801,276242,154466,7844435,TRUE,FALSE,English,,,,,,,,,,,,
Gladd,543954570,171195,54477,2779,337972,157424,9290817,TRUE,FALSE,English,,,,,,,,,,,,
CriticalRole,539495145,21300,110800,17689,571210,237069,7827030,TRUE,FALSE,English,,,,,,,,,,,,
Vinesauce,536989080,86790,19065,6125,442493,80616,5560969,TRUE,TRUE,English,,,,,,,,,,,,
ludwig,525883695,94575,60346,5368,542580,505089,8508355,TRUE,FALSE,English,,,,,,,,,,,,
RduLIVE,525737445,127380,11854,3953,234884,62490,7653194,TRUE,FALSE,English,,,,,,,,,,,,
Hiko,523057245,79665,41644,5268,1001350,479830,11106951,TRUE,FALSE,English,,,,,,,,,,,,
FENGRUSH,521568750,100605,16128,4985,95643,23288,44675247,TRUE,FALSE,English,,,,,,,,,,,,
Chess,521511525,96315,83666,5767,326118,181232,84500786,TRUE,FALSE,English,,,,,,,,,,,,
72hrs,519458565,136515,30702,3756,1024814,315190,12051692,TRUE,FALSE,English,,,,,,,,,,,,
TwitchRivals,516113670,36555,109148,14509,999480,644684,71159574,TRUE,FALSE,English,,,,,,,,,,,,
hashinshin,515812965,192255,12540,2483,570621,159892,11386166,TRUE,FALSE,English,,,,,,,,,,,,
JoshOG,510984165,159300,85051,2957,1748928,120782,20688501,TRUE,FALSE,English,,,,,,,,,,,,
B0aty,510323715,151215,22375,3152,516113,49577,8448691,TRUE,TRUE,English,,,,,,,,,,,,
AustinShow,509643945,21000,72199,24739,840624,378656,11648873,TRUE,TRUE,English,,,,,,,,,,,,
39daph,509052375,135495,12648,3766,505362,470589,8983449,TRUE,FALSE,English,,,,,,,,,,,,
scump,506838930,71355,79976,6789,893010,275270,8661072,TRUE,FALSE,English,,,,,,,,,,,,
Kyle,501208575,161295,9339,3059,182260,60506,5692219,TRUE,TRUE,English,,,,,,,,,,,,
Aydan,495563580,140595,51268,3507,1701314,425036,11009240,TRUE,TRUE,English,,,,,,,,,,,,
Mongraal,492733995,27060,89706,18180,2951980,1454481,19515587,TRUE,FALSE,English,,,,,,,,,,,,
EmadGG,487281450,132630,67732,2741,702744,623391,9556065,TRUE,FALSE,English,,,,,,,,,,,,
lilypichu,477949200,56280,33075,8407,1363222,657630,14729189,TRUE,FALSE,English,,,,,,,,,,,,
KingGeorge,472786395,160140,12621,2914,767727,250434,6445996,TRUE,FALSE,English,,,,,,,,,,,,
KingRichard,472405995,137175,17327,3312,1536757,109795,9570639,TRUE,FALSE,English,,,,,,,,,,,,
Zizaran,460519830,156195,20745,2552,267004,47149,16917944,TRUE,FALSE,English,,,,,,,,,,,,
imls,460332570,78945,32758,5621,392024,177673,8610645,TRUE,FALSE,English,,,,,,,,,,,,
TSM_ImperialHal,459076530,120975,23107,3550,302593,287810,8907366,TRUE,FALSE,English,,,,,,,,,,,,
Ramee,457242510,159825,10845,2825,132642,74094,6606894,TRUE,FALSE,English,,,,,,,,,,,,
Towelliee,453487500,183090,15495,2392,705098,21398,17009119,TRUE,FALSE,English,,,,,,,,,,,,
FollowGrubby,451910415,132015,15296,3365,430649,46282,12249560,TRUE,FALSE,English,,,,,,,,,,,,
IWillDominate,442870530,93480,23813,4591,797244,79514,8695968,TRUE,FALSE,English,,,,,,,,,,,,
Nadeshot,440331540,50175,40327,7985,1472104,428800,7844647,TRUE,TRUE,English,,,,,,,,,,,,
buddha,438460680,135090,11971,3184,247303,24901,6326808,TRUE,TRUE,English,,,,,,,,,,,,
Deadlyslob,438143850,119085,104568,3088,315637,130944,6321235,TRUE,FALSE,English,,,,,,,,,,,,
ESAMarathon,433329345,301395,22132,1460,244440,35038,32500708,TRUE,FALSE,English,,,,,,,,,,,,
Nmplol,429213420,63870,24687,6767,455444,130564,8859183,TRUE,FALSE,English,,,,,,,,,,,,
Sequisha,426325350,163530,19755,2540,252495,86220,7404102,TRUE,TRUE,English,,,,,,,,,,,,
HusKerrs,425044665,107610,39433,3247,361360,288952,6298662,TRUE,FALSE,English,,,,,,,,,,,,
Shiphtur,420316860,118410,19688,3414,709343,58604,7906425,TRUE,FALSE,English,,,,,,,,,,,,
BarbarousKing,419187600,188895,13419,2244,159402,42931,4822422,TRUE,TRUE,English,,,,,,,,,,,,
moistcr1tikal,415091820,103170,42135,3977,1166681,724159,7780736,TRUE,FALSE,English,,,,,,,,,,,,
Rush,412717875,86265,15405,4731,542991,120906,7575905,TRUE,FALSE,English,,,,,,,,,,,,
LosPollosTV,411900525,69900,54323,5671,476096,138468,6201733,TRUE,FALSE,English,,,,,,,,,,,,
DreamLeague,411414600,244560,147514,1751,349054,61032,7424007,TRUE,FALSE,English,,,,,,,,,,,,
Voyboy,411274050,80670,21187,4632,1251182,139443,8151140,TRUE,FALSE,English,,,,,,,,,,,,
DatModz,409985220,228615,14288,1753,270720,36757,9812812,TRUE,FALSE,English,,,,,,,,,,,,
dafran,408885990,92565,19611,4319,599036,142689,7944645,TRUE,FALSE,English,,,,,,,,,,,,
Aurateur,407829960,163815,15547,2492,142427,26782,4368785,TRUE,TRUE,English,,,,,,,,,,,,
pokelawls,407214675,118335,22496,3352,668807,182123,5999354,TRUE,FALSE,English,,,,,,,,,,,,
A_Seagull,407156655,95160,28779,4193,1028544,55228,7374161,TRUE,TRUE,English,,,,,,,,,,,,
koil,403848390,145035,13421,2791,299033,50231,7743238,TRUE,TRUE,English,,,,,,,,,,,,
itsHafu,400822020,123375,34345,3276,787371,36756,10008765,TRUE,FALSE,English,,,,,,,,,,,,
StaysafeTV,399746130,135180,15608,2876,149648,73218,7427189,TRUE,TRUE,English,,,,,,,,,,,,
Loeya,398289900,150495,7955,2635,1233300,337821,19024045,TRUE,FALSE,English,,,,,,,,,,,,
btssmash,389890800,362970,94083,1061,216558,81658,6933788,TRUE,FALSE,English,,,,,,,,,,,,
Payo,385755615,137400,12274,2772,175503,112595,11672019,TRUE,FALSE,English,,,,,,,,,,,,
Shotz,385739280,153105,10316,2523,159763,48388,5464553,TRUE,TRUE,English,,,,,,,,,,,,
m0xyy,384746505,136095,25387,2431,461534,269311,6207063,TRUE,FALSE,English,,,,,,,,,,,,
LexVeldhuis,380251830,73935,58416,4939,244467,66680,14339774,TRUE,FALSE,English,,,,,,,,,,,,
NateHill,379971075,111555,41610,3311,1055613,449635,14221498,TRUE,FALSE,English,,,,,,,,,,,,
Emongg,379682235,155910,21922,2228,504653,156093,5794763,TRUE,FALSE,English,,,,,,,,,,,,
fl0m,379633995,188070,19318,1931,658323,183265,11489901,TRUE,FALSE,English,,,,,,,,,,,,
AsmodaiTV,379345935,132360,11751,2796,247056,30588,6547592,TRUE,FALSE,English,,,,,,,,,,,,
Grimmmz,377312595,176580,21993,2153,1001739,37734,7803917,TRUE,TRUE,English,,,,,,,,,,,,
BurkeBlack,372767025,171675,4922,2154,276421,13471,5367772,TRUE,TRUE,English,,,,,,,,,,,,
Trick2g,371417130,132945,28917,2650,1476226,115863,8688676,TRUE,TRUE,English,,,,,,,,,,,,
FORMAL,369971310,137190,16518,2391,512592,176173,4803076,TRUE,FALSE,English,,,,,,,,,,,,
Fortnite,369166335,12030,169084,28584,3558217,1163448,21509520,TRUE,FALSE,English,,,,,,,,,,,,
ANGRYPUG,360278835,184845,9822,1892,366463,48331,4962556,TRUE,TRUE,English,,,,,,,,,,,,
btscsgo,357966315,57165,74949,6530,219539,166599,9173781,TRUE,FALSE,English,,,,,,,,,,,,
ShivFPS,355389630,203175,7216,1782,236407,174213,6900666,TRUE,FALSE,English,,,,,,,,,,,,
Distortion2,354144315,170220,11495,1953,314170,44982,5500067,TRUE,TRUE,English,,,,,,,,,,,,
boxbox,353396640,117720,25314,2717,1717150,145809,9971842,TRUE,FALSE,English,,,,,,,,,,,,
singsing,346171920,126795,11839,2735,572005,45761,6526670,TRUE,TRUE,English,,,,,,,,,,,,
bateson87,342162660,98730,20204,3344,598678,254821,16648694,TRUE,FALSE,English,,,,,,,,,,,,
NymN,340095510,100125,23488,3402,241746,111122,4409296,TRUE,TRUE,English,,,,,,,,,,,,
NairoMK,335695215,106200,22074,3054,339545,69474,6132895,TRUE,FALSE,English,,,,,,,,,,,,
UnknownxArmy,333869670,92250,41700,3735,850944,836664,11325781,TRUE,FALSE,English,,,,,,,,,,,,
s1mple,333097410,24615,34971,12723,1681884,740732,20277843,TRUE,FALSE,English,,,,,,,,,,,,
Sjow,331726155,149700,8140,2189,240206,21662,3365340,TRUE,FALSE,English,,,,,,,,,,,,
scoped,330160515,63360,47343,5165,731808,728892,8279834,TRUE,TRUE,English,,,,,,,,,,,,
keanelol,327242790,147255,7208,2176,162917,85035,4068823,TRUE,FALSE,English,,,,,,,,,,,,
sips_,325731015,108990,7872,2984,430755,84034,4331397,TRUE,TRUE,English,,,,,,,,,,,,
ESL_CSGOb,325637220,52530,89949,5114,575769,183662,13742820,TRUE,FALSE,English,,,,,,,,,,,,
midbeast,324433515,118005,16153,2652,330060,143256,10000927,TRUE,FALSE,English,,,,,,,,,,,,
Veritas,320121405,135150,103833,1595,182492,131913,4176079,TRUE,FALSE,English,,,,,,,,,,,,
daltoosh,319194420,154440,16445,2038,241602,163486,3665065,TRUE,FALSE,English,,,,,,,,,,,,
TSM_Viss,316437645,117795,18844,2668,762778,101135,7091125,TRUE,FALSE,English,,,,,,,,,,,,
Anthony_Kongphan,316366395,163920,49085,1858,462128,44534,6805829,TRUE,FALSE,English,,,,,,,,,,,,
EASPORTSFIFA,313078095,12165,106126,24395,1287954,427684,11286667,TRUE,FALSE,English,,,,,,,,,,,,
Flashpoint,311325840,19320,77708,11713,93616,93120,27828448,TRUE,FALSE,English,,,,,,,,,,,,
Steelmage,311218875,178485,10815,1696,60987,37839,7005761,TRUE,FALSE,English,,,,,,,,,,,,
AvoidingThePuddle,309117315,80955,13108,3893,336181,67040,4202354,TRUE,TRUE,English,,,,,,,,,,,,
Slushpuppy,307001595,150525,118125,1560,122486,85852,5065635,TRUE,FALSE,English,,,,,,,,,,,,
itmeJP,306920835,145950,24603,2079,369273,6134,10677522,TRUE,FALSE,English,,,,,,,,,,,,
tarzaned,306010080,72390,14602,4159,388878,172683,7744943,TRUE,TRUE,English,,,,,,,,,,,,
Doublelift,301917225,20370,52584,13364,1389835,166536,7617972,TRUE,FALSE,English,,,,,,,,,,,,
Kiwo,299469345,234330,10836,1243,296481,38195,4900030,TRUE,TRUE,English,,,,,,,,,,,,
Savjz,298693050,86205,12708,3401,542892,13967,4072337,TRUE,FALSE,English,,,,,,,,,,,,
BobbyPoffGaming,298668465,224295,6453,1254,125803,81131,2208405,TRUE,FALSE,English,,,,,,,,,,,,
The_Happy_Hob,295999245,106125,8560,2834,216106,38712,4158704,TRUE,TRUE,English,,,,,,,,,,,,
